iter	stage	model	harness	passed	total	job
0	holdout_anchor	base	harness0	77	102	tmax-coev-rep12-anchor0
1	B_holdout_harness	base	harness_i1	80	102	tmax-coev-rep12-i1-B-harness
1	E_holdout_sft_a0	sft_i1_a0_rl	harness_i1	81	102	tmax-coev-rep12-i1-E-sft-a0
2	B_holdout_harness	sft_i1	harness_i2	80	102	tmax-coev-rep12-i2-B-harness
2	E_holdout_sft_a0	sft_i2_a0_rl	harness_i2	81	102	tmax-coev-rep12-i2-E-sft-a0
2	E_holdout_sft_a1	sft_i2_a1_rl	harness_i2	87	102	tmax-coev-rep12-i2-E-sft-a1
3	B_holdout_harness	sft_i2	harness_i3	80	102	tmax-coev-rep12-i3-B-harness
3	E_holdout_sft_a0	sft_i3_a0_rl	harness_i3	86	102	tmax-coev-rep12-i3-E-sft-a0
3	E_holdout_sft_a1	sft_i3_a1_rl	harness_i3	83	102	tmax-coev-rep12-i3-E-sft-a1
3	E_holdout_sft_a2	sft_i3_a2_rl	harness_i3	84	102	tmax-coev-rep12-i3-E-sft-a2
4	B_holdout_harness	sft_i3	harness_i4	83	102	tmax-coev-rep12-i4-B-harness
4	E_holdout_sft_a0	sft_i4_a0_rl	harness_i4	87	102	tmax-coev-rep12-i4-E-sft-a0
4	E_holdout_sft_a1	sft_i4_a1_rl	harness_i4	83	102	tmax-coev-rep12-i4-E-sft-a1
4	E_holdout_sft_a2	sft_i4_a2_rl	harness_i4	82	102	tmax-coev-rep12-i4-E-sft-a2
